title,ISBN,author,description,link
Вампир Лестат,978-5-389-21035-6,Райс Э.,"Исповедь вампира Лестата, героя «Вампирских хроник», пытающегося отыскать истоки своего вечного существования, встретиться с Детьми Тысячелетий, проносит нас сквозь века и континенты: Древний Египет и Америка XX века, Римская империя и Венеция эпохи Возрождения... Исторически точное и в то же время, исполненное безграничной фантазии повествование, позволяет приоткрыть завесу над древними тайнами, проникнуть в секреты древней магии, заглянуть в бездну, наполненную страстями, — бездну под названием человеческая душа… Предыдущий роман писательницы «Интервью с вампиром», открывший цикл «Вампирских хроник» и продолженный романом «Вампир Лестат», стал настоящим событием в мире литературы. Общий его тираж превысил рекордные 15 миллионов экземпляров, это едва ли не самая продаваемая из книг современных авторов в истории книжной торговли.",https://book24.ru/product/vampir-lestat-6655274/
Ужас Данвича,978-5-04-155191-9,Лавкрафт Говард Филлипс,"Американский писатель Говард Филлипс Лавкрафт при жизни не опубликовал ни одной книги, печатаясь только в журналах. Признание пришло к нему спустя десятилетия после смерти.  Его творчество стало неиссякаемым источником вдохновения не только для мировой книжной индустрии, а также нашло свое воплощение в кино и играх. Большое количество последователей и продолжателей циклов Лавкрафта по праву дает право считать его главным мифотворцем XX века.  В сборник вошли ключевые рассказы «Мифов Ктулху», в том числе «Хребты безумия» об экспедиции ученых в царство вечных льдов и «Ужас Данвича» о странном мальчике, внушавшем страх всем жителям деревушки.",https://book24.ru/product/uzhas-danvicha-6009129/
Доходный дом. Романы и рассказы,978-5-4459-0185-3,Оуэн Т.,"Этой книгой издательство «Престиж Бук» начинает издание художественных произведений бельгийского писателя Томаса Оуэна. Под этим псевдонимом Жеральд Берто теперь известен во всем мире как мэтр «черной» фантастики и «страшных сказок». Оуэн дружил с другим великим бельгийцем — Жаном Рэем, которого сделал героем своей повести «На кладбище Бернкастель» из сборника «Черная книга чудес». Томас Оуэн писал также под псевдонимом Стефан Рэй. В первую книгу автора вошли романы «Доходный дом», «Полная неизвестность», «Преступление в стиле свинг», «Золото индиго» и цикл рассказов. Вас ждет ощущение тревоги и страха, загадок и тайн, юмора и красивых эротических зарисовок.",https://book24.ru/product/dokhodnyy-dom-romany-i-rasskazy-6103768/
1000 и 1 призрак,978-5-222-36783-4,"Дюма А., Гауф В., Бриссет Н.","Самые захватывающие произведения, входящие в «золотой фонд» мировой литературы ужасов. Любители пощекотать себе нервы не должны проходить мимо этой серии! На страницах книг оживут самые страшные ночные кошмары, от древних богов Лавкрафта до ведьм Гоголя. Читатель прикоснётся к древним оккультным тайнам, посетит ужасные и таинственные миры, созданные фантазией великих писателей. Не читайте эти книги на ночь!",https://book24.ru/product/1000-i-1-prizrak-6106147/
Рыбак,978-5-17-149549-7,Лэнган Джон,"Для всех поклонников Стивена Кинга и Клайва Баркера. Мрачный, устрашающий и завлекательный хоррор с элементами психологического триллера. Номинант премии «Локус». Джон Лэнган – это один из наиболее известных современных редакторов и авторов, работающих в жанре хоррора, автор романа «Дом окон». Голландский ручей — прекрасное место для рыбалки, живописный лесной уголок вдали от бесконечной суеты современной цивилизации. С ним связаны причудливые легенды о таинственном Рыбаке и о чудовищах, которых он ловил. Когда сюда приезжают Эйб и Дэн, два вдовца, потерявшие все самое дорогое в жизни, эти слухи кажутся им лишь очередной байкой, но постепенно рассказ о страшных событиях, произошедших в городе поблизости около века назад, о Рыбаке, монстрах и мертвецах вовлекают героев в историю мрачнее любого омута. Друзья еще не знают, что местные воды гораздо глубже, чем кажутся, и ведут в пространства, неподвластные человеку; что древние тайны не умерли до сих пор; что ад всегда рядом, а тем, кто отчаялся, вскоре выпадет шанс встретиться со всем, что они потеряли. Вот только цена за эту встречу будет непомерной.",https://book24.ru/product/rybak-6591060/
"Призрак в лунном свете: избранное, редкое и неизданное",978-5-222-34691-4,Лавкрафт Говард Филлипс,"В этот том собрания избранных произведений одного из величайших мастеров фантастики и «литературы ужасов» вошли прославленный роман «История Чарльза Декстера Варда», а также подборка редко издаваемых на русском языке рассказов и поэтических произведений. Бессмертные произведения Лавкрафта гармонично дополняют эксклюзивные рисунки Ивана Иванова.",https://book24.ru/product/prizrak-v-lunnom-svete-izbrannoe-redkoe-i-neizdannoe-6105159/
Под неусыпным надзором,978-5-17-108890-3,Нэвилл Адам,"Адам Нэвилл, автор культового романа «Ритуал», на сегодняшний день стал одним из самых продаваемых авторов в жанре хоррора, уступая по тиражам и популярности разве что Стивену Кингу да Клайву Баркеру. Его новый роман «Под неусыпным надзором» — самое личное и зловещее произведение автора. Тихая жизнь Себастьяна Логана, успешного писателя, творящего в жанре ужасов, трещит по швам, когда в его доме появляется зловещий и совсем нежеланный гость из далёкого прошлого, которое Себ надеялся навсегда оставить позади. Вместе с пришельцем в его жизнь вторгается нечто жуткое и страшное, неотступно следующее и неусыпно следящее за Себастьяном. Писатель вдруг ощущает себя героем собственного романа, но что, если попытка вырваться из кошмара приведёт лишь к ещё большей трагедии?  Нэвилл мастерски нагнетает атмосферу ужаса и обречённости, лихо закручивает сюжет и жестоко обманывает читательские ожидания, заставляя в нетерпении перелистывать страницу за страницей вплоть до самого финала. Себастьян Логан — успешный писатель ужасов, ведущий спокойную жизнь на английском взморье. Но вскоре его комфортабельное существование прерывает появление пришельца из прошлого, которое он надеялся навсегда оставить позади. Вместе со старым знакомым в повседневность Логана вторгается что-то страшное, и оно неотступно следует за Себастьяном. Он видит странные темные фигуры днем, чужой взгляд не отпускает его даже во сне. Неожиданно он как будто оказывается в собственном романе, а реальность вокруг искажается на глазах. Вскоре Логан узнает, что существуют двери, которые ведут в неизвестные миры, что кошмары, являющиеся нам в забытьи, куда реальнее, чем принято думать, а жизнь после смерти существует, вот только это не повод для радости. И попытки Себастьяна избавиться от постоянного преследования, понять, что же с ним происходит, оборачиваются смертельной опасностью, ведь он уже далеко не первый кто исчез, пытаясь выбраться из-под неусыпного надзора.",https://book24.ru/product/pod-neusypnym-nadzorom-5933956/
Призрак Сейди,978-5-00154-853-9,Эллис Кэт,"Слухи в этом городке множатся, как и число убитых… Городок Бурден-Фоллз – мрачное место: жители верят, что живут рядом с проклятым водопадом, а иногда ночью видят призрак безглазой Сейди. Ава Терн выросла в усадьбе неподалеку от водопада и, с тех пор как ее родители погибли в ужасной аварии, видит кошмары. Во сне к ней приходит Сейди. Она пророчит смерть. Вскоре люди из окружения Авы умирают. Реальность становится страшнее и опаснее снов. Полиция подозревает Аву в зверских убийствах. Быть может, семейное проклятие Тернов действительно существует? Что хочет сказать призрак и как вычислить настоящего убийцу, если каждый житель города скрывает секреты?",https://book24.ru/product/prizrak-seydi-6607563/
Дом у Чертова озера,978-5-04-168534-8,Корсакова Татьяна,"Татьяна Корсакова пишет на границе смешения жанров сентиментального романа, детектива и мистики. Почитатели любовно-авантюрных историй знают ее под псевдонимом Алиса Корсак. В ее романах есть всё: настоящая дружба, первая любовь, мистика, нетривиальный сюжет.  Старый дом на берегу Чертова озера давно пользуется недоброй славой. Он завещан сумасбродным миллионером троим одноклассникам — друзьям в прошлом и недругам в настоящем. Условие получения наследства одно: провести шесть ночей под крышей старого дома.",https://book24.ru/product/dom-u-chertova-ozera-6599438/
Параллели Зазеркалья,978-5-04-115564-3,Юрьев Руслан,"Мистический роман проницательного автора Руслана П. Юрьева ""Параллели Зазеркалья"" погружает читателя в необычные и волнующие приключения во времени и пространстве.  Греция, Париж, любовь, обретение  себя,  своего прошлого, поиск смысла... Откуда мы, зачем, что уготовано нам в будущем? На эти и другие вопросы пытается ответить автор вместе со своими героями.",https://book24.ru/product/paralleli-zazerkalya-6007632/
